2021-09-21 09:09:318 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:16 INFO  HomePage :42 - Enter Number : 48 In blank field : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:83 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:745 INFO  HomePage :42 - Enter Number : 864 In blank field : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:811 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:880 INFO  HomePage :60 - Click on Calculate Total button : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //button[contains(text(),'Calculate Total')]]
2021-09-21 09:09:533 INFO  BasePage :31 - Launching Chrome Browser 
2021-09-21 09:09:684 INFO  HomePage :42 - Enter Number : 5876 In blank field : [[ChromeDriver: chrome on WINDOWS (ddea4a6ab4183b6df3f265dd670034f8)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:751 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (ddea4a6ab4183b6df3f265dd670034f8)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:483 INFO  HomePage :42 - Enter Number : 48 In blank field : [[ChromeDriver: chrome on WINDOWS (ddea4a6ab4183b6df3f265dd670034f8)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:546 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (ddea4a6ab4183b6df3f265dd670034f8)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:211 INFO  HomePage :42 - Enter Number : 864 In blank field : [[ChromeDriver: chrome on WINDOWS (ddea4a6ab4183b6df3f265dd670034f8)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:280 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (ddea4a6ab4183b6df3f265dd670034f8)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:347 INFO  HomePage :60 - Click on Calculate Total button : [[ChromeDriver: chrome on WINDOWS (ddea4a6ab4183b6df3f265dd670034f8)] -> xpath: //button[contains(text(),'Calculate Total')]]
2021-09-21 09:09:427 INFO  HomePage :66 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ddea4a6ab4183b6df3f265dd670034f8)] -> xpath: //span[@class='total_value']]
2021-09-21 09:09:91 INFO  BasePage :31 - Launching Chrome Browser 
